DATE,DGASUSGULF
2018-09-18,2.017
2018-09-19,2.032
2018-09-20,2.029
2018-09-21,2.035
2018-09-24,2.081
2018-09-25,2.097
2018-09-26,2.101
2018-09-27,2.136
2018-09-28,2.15
2018-10-01,2.178
2018-10-02,2.166
2018-10-03,2.181
2018-10-04,2.149
2018-10-05,2.13
2018-10-08,2.133
2018-10-09,2.107
2018-10-10,2.047
2018-10-11,1.957
2018-10-12,1.961
2018-10-15,1.968
2018-10-16,2.001
2018-10-17,1.943
2018-10-18,1.885
2018-10-19,1.908
2018-10-22,1.905
2018-10-23,1.833
2018-10-24,1.791
2018-10-25,1.799
2018-10-26,1.828
2018-10-29,1.828
2018-10-30,1.823
2018-10-31,1.776
2018-11-01,1.726
2018-11-02,1.711
2018-11-05,1.683
2018-11-06,1.695
2018-11-07,1.647
2018-11-08,1.646
2018-11-09,1.603
2018-11-12,1.597
2018-11-13,1.509
2018-11-14,1.517
2018-11-15,1.508
2018-11-16,1.536
2018-11-19,1.539
2018-11-20,1.487
2018-11-21,1.497
2018-11-22,.
2018-11-23,.
2018-11-26,1.435
2018-11-27,1.414
2018-11-28,1.387
2018-11-29,1.446
2018-11-30,1.436
2018-12-03,1.437
2018-12-04,1.438
2018-12-05,1.436
2018-12-06,1.435
2018-12-07,1.459
2018-12-10,1.403
2018-12-11,1.418
2018-12-12,1.404
2018-12-13,1.461
2018-12-14,1.394
2018-12-17,1.352
2018-12-18,1.313
2018-12-19,1.335
2018-12-20,1.289
2018-12-21,1.268
2018-12-24,.
2018-12-25,.
2018-12-26,1.304
2018-12-27,1.277
2018-12-28,1.268
2018-12-31,.
2019-01-01,.
2019-01-02,1.294
2019-01-03,1.313
2019-01-04,1.315
2019-01-07,1.3
2019-01-08,1.308
2019-01-09,1.366
2019-01-10,1.372
2019-01-11,1.358
2019-01-14,1.32
2019-01-15,1.364
2019-01-16,1.392
2019-01-17,1.409
2019-01-18,1.426
2019-01-21,.
2019-01-22,1.387
2019-01-23,1.373
2019-01-24,1.373
2019-01-25,1.371
2019-01-28,1.327
2019-01-29,1.33
2019-01-30,1.378
2019-01-31,1.358
2019-02-01,1.423
2019-02-04,1.428
2019-02-05,1.417
2019-02-06,1.442
2019-02-07,1.413
2019-02-08,1.452
2019-02-11,1.438
2019-02-12,1.446
2019-02-13,1.489
2019-02-14,1.531
2019-02-15,1.589
2019-02-18,.
2019-02-19,1.588
2019-02-20,1.438
2019-02-21,1.459
2019-02-22,1.46
2019-02-25,1.4
2019-02-26,1.423
2019-02-27,1.462
2019-02-28,1.514
2019-03-01,1.611
2019-03-04,1.637
2019-03-05,1.665
2019-03-06,1.74
2019-03-07,1.749
2019-03-08,1.743
2019-03-11,1.802
2019-03-12,1.779
2019-03-13,1.84
2019-03-14,1.816
2019-03-15,1.801
2019-03-18,1.832
2019-03-19,1.855
2019-03-20,1.88
2019-03-21,1.906
2019-03-22,1.918
2019-03-25,1.948
2019-03-26,1.975
2019-03-27,1.899
2019-03-28,1.882
2019-03-29,1.888
2019-04-01,1.888
2019-04-02,1.92
2019-04-03,1.948
2019-04-04,1.926
2019-04-05,1.96
2019-04-08,1.976
2019-04-09,1.992
2019-04-10,2.047
2019-04-11,2.023
2019-04-12,2.014
2019-04-15,1.985
2019-04-16,2.006
2019-04-17,1.991
2019-04-18,2.01
2019-04-19,.
2019-04-22,2.099
2019-04-23,2.1
2019-04-24,2.068
2019-04-25,2.061
2019-04-26,2.029
2019-04-29,2.029
2019-04-30,2.05
2019-05-01,1.997
2019-05-02,1.952
2019-05-03,1.966
2019-05-06,1.909
2019-05-07,1.841
2019-05-08,1.88
2019-05-09,1.865
2019-05-10,1.892
2019-05-13,1.85
2019-05-14,1.861
2019-05-15,1.905
2019-05-16,1.943
2019-05-17,1.913
2019-05-20,1.877
2019-05-21,1.899
2019-05-22,1.873
2019-05-23,1.83
2019-05-24,1.86
2019-05-27,.
2019-05-28,1.872
2019-05-29,1.875
2019-05-30,1.814
2019-05-31,1.74
2019-06-03,1.673
2019-06-04,1.684
2019-06-05,1.652
2019-06-06,1.685
2019-06-07,1.697
2019-06-10,1.691
2019-06-11,1.699
2019-06-12,1.624
2019-06-13,1.662
2019-06-14,1.671
2019-06-17,1.635
2019-06-18,1.649
2019-06-19,1.671
2019-06-20,1.734
2019-06-21,1.806
2019-06-24,1.777
2019-06-25,1.813
2019-06-26,1.888
2019-06-27,1.864
2019-06-28,1.87
2019-07-01,1.855
2019-07-02,1.808
2019-07-03,1.877
2019-07-04,.
2019-07-05,.
2019-07-08,1.86
2019-07-09,1.895
2019-07-10,1.963
2019-07-11,1.955
2019-07-12,1.931
2019-07-15,1.878
2019-07-16,1.86
2019-07-17,1.817
2019-07-18,1.78
2019-07-19,1.779
2019-07-22,1.761
2019-07-23,1.831
2019-07-24,1.814
2019-07-25,1.833
2019-07-26,1.831
2019-07-29,1.83
2019-07-30,1.862
2019-07-31,1.875
2019-08-01,1.748
2019-08-02,1.764
2019-08-05,1.697
2019-08-06,1.656
2019-08-07,1.615
2019-08-08,1.619
2019-08-09,1.626
2019-08-12,1.625
2019-08-13,1.672
2019-08-14,1.611
2019-08-15,1.582
2019-08-16,1.621
2019-08-19,1.637
2019-08-20,1.653
2019-08-21,1.791
2019-08-22,1.757
2019-08-23,1.733
2019-08-26,1.726
2019-08-27,1.752
2019-08-28,1.801
2019-08-29,1.788
2019-08-30,1.703
2019-09-02,.
2019-09-03,1.561
2019-09-04,1.594
